SMILES
O=C(NN1C(=O)C(Cl)C1c1cccc2ccccc12)c1nc2ccccc2nc1O
O=C(NN1C(=O)C(Cl)C1c1cccc(Br)c1)c1nc2ccccc2nc1O
CCOc1ccc(C2C(Cl)C(=O)N2NC(=O)c2nc3ccccc3nc2O)cc1O
O=C(NN1C(=O)C(Cl)C1c1ccc(O)cc1)c1nc2ccccc2nc1O
O=C(NN1C(=O)C(Cl)C1c1cccc(O)c1)c1nc2ccccc2nc1O
O=C(NN1C(=O)C(Cl)C1c1ccc(Cl)cc1Cl)c1nc2ccccc2nc1O
O=C(NN1C(=O)C(Cl)C1c1cccc([N+](=O)[O-])c1)c1nc2ccccc2nc1O
O=C(NN1C(=O)C(Cl)C1c1ccco1)c1nc2ccccc2nc1O
Cc1ccc(C2C(Cl)C(=O)N2NC(=O)c2nc3ccccc3nc2O)cc1
O=C(NN1C(=O)C(Cl)C1c1cccs1)c1nc2ccccc2nc1O
COc1ccc(C2C(Cl)C(=O)N2NC(=O)c2nc3ccccc3nc2O)cc1O
O=C(NN1C(=O)C(Cl)C1c1ccc(Br)cc1)c1nc2ccccc2nc1O
